#     x        y        z     r_vir   v_x      v_y      v_z 
#-----------------------------------------------------------
#    kpc      kpc      kpc     kpc    km/s     km/s     km/s
#-----------------------------------------------------------
    763.34  -386.04    71.61   13.   293.1   -106.2   -15.90
    768.83    52.12 -1273.69   14.   264.3     26.1  -458.50
    782.63   -42.29  -178.57   19.   342.9    -66.2   -29.00
    799.46 -1200.77   -44.51   36.   308.7   -415.9     6.20
    801.84   501.24  -979.52   17.   266.2    156.1  -323.10
    806.50   732.37  -641.94   27.   317.4    265.3  -254.30
    811.20  -313.12   -45.02   21.   384.0    -53.9   -44.50
    807.56   283.82  -414.35   13.   275.6     77.5  -199.10
    814.28  -267.62   -66.36   28.   314.9   -110.4   -37.20
    828.08  -344.05   -53.07   21.   298.1    -34.0   -38.70
    832.27   167.88  -888.10   13.   325.6    119.7  -318.60
    830.28 -1221.30    32.88   12.   240.9   -434.4    -8.60
    843.39  -110.48  -158.95   17.   318.2    -48.9   -16.30
    842.52   461.77  -396.40   13.   304.4    153.1  -199.30
    851.90 -1093.77    75.77   12.   301.1   -422.2   -27.90
    849.70  -129.84  -162.51   17.   292.0    -21.2   -54.10
    854.03   119.69  -399.22   15.   334.5     47.7  -162.10
    857.60 -1042.27    77.83   13.   308.6   -403.6   -25.10
    859.01   -72.00   -88.07   18.   284.4    -76.9   -65.60
    876.34 -1229.50    91.88   16.   241.6   -422.9   -38.40
    867.41  -981.01    73.47   15.   303.9   -401.0   -19.40
    888.77  -500.71   -75.65   15.   380.7   -123.5   -14.70
    895.05  -135.81  -200.03   12.   308.2    -29.4   -42.20
    889.99   862.18  -658.18   23.   329.5    279.2  -230.80
    909.39   868.36  -634.60   16.   254.9    276.8  -246.50
    909.13   895.51   770.39   23.   353.3    350.3   337.70
    929.27   724.25   946.44   15.   362.2    284.0   368.20
    938.01   781.42  -723.23   14.   329.2    279.9  -243.40
    942.74    39.38   102.33   20.   375.8    -13.7     8.60
    940.49   868.04  -583.89   16.   312.8    280.9  -267.00
    949.00  -396.49   185.93   14.   321.2   -132.2    21.80
    956.45   306.36 -1022.83   18.   329.0    136.9  -334.10
    974.27    45.84   149.45   18.   353.4     10.0     5.60
    968.70   191.43   108.38   14.   405.3     -9.9    31.70
    997.87  -750.39   -88.60   20.   387.2   -237.1   -39.60
   1008.65  -463.45   -81.69   15.   363.1   -165.1   -63.10
   1032.41   184.67   171.70   20.   392.7      8.3    29.00
   1045.29  -448.36  -199.49   12.   439.2   -153.8   -85.60
   1047.06   182.65   145.03   15.   356.0     63.1    65.80
   1043.71   729.38  -717.68   16.   346.2    242.9  -255.30
   1052.72   -63.86  -401.06   22.   430.7    -17.1  -124.80
   1076.89  -542.21  -255.13   26.   432.4   -156.5   -46.10
   1089.34   -72.98  -424.14   17.   393.2     -1.6   -94.80
   1094.96  -530.05   -93.72   12.   367.9   -150.5   -94.80
   1090.32   529.07   883.33   12.   436.9    191.8   334.90
   1087.88   593.66  -806.29   14.   371.3    221.8  -258.50
   1104.63  -538.79  -278.86   11.   404.4   -117.9   -29.50
   1107.77  -437.15  -226.56   26.   406.5   -163.7   -57.10
   1123.05     0.85  -426.90   18.   400.8    -46.4  -168.70
   1125.61   630.87  -684.99   13.   385.3    187.6  -256.30
   1120.34   893.23  -400.96   20.   404.1    311.3  -162.20
   1122.66  -559.46  -296.36   19.   383.1   -155.6   -36.20
   1148.45  -516.35  -104.25   14.   385.6   -129.6   -69.20
   1142.58   326.07   354.45   13.   386.0    100.2   128.60
